"PUNTO","Q1","Q2","Q3","Q4","Media","CoeficienteVar","Salto","Cluster"
325,60.0333333333333,60.05,60.0666666666667,2320375.58333333,1242.33600364133,39.9813210593824,0.850137470380375,3
26,60.0333333333333,60.05,60.0666666666667,779.466666666667,106.893759478314,1.5698414544151,0.0033175502365762,1
27,60.0333333333333,60.05,60.0833333333333,756.583333333333,105.139388162672,1.55724730415975,0.00391939151220131,1
20,60.05,60.05,60.0666666666667,7886.03333333333,104.615038943653,1.83535083074613,0.013760761237115,1
22,60.0333333333333,60.05,60.0833333333333,31562.1666666667,104.901372872048,4.39862458746008,0.0550749911908166,1
21,60.05,60.05,60.0833333333333,8002.15,110.228758735654,1.85987966607839,0.013963424899968,1
23,60.05,60.05,60.0666666666667,8008.43333333333,108.168154649553,1.89358943000818,0.0139744971664989,1
24,60.05,60.05,60.0833333333333,7957.26666666667,109.177395694418,1.85716482157881,0.0138852789594934,1
25,60.05,60.05,60.0833333333333,7994.9,112.520780155769,1.88565566622613,0.013951041324333,1
14,60.0166666666667,60.0333333333333,60.05,10686.3333333333,94.9840598290598,2.37593872504865,0.0360598067062085,1
12,60.0166666666667,60.0333333333333,60.05,10946.8666666667,114.150417469493,2.41513364581441,0.0369551493764214,1
6,60.0333333333333,60.0333333333333,60.05,8031.28333333333,122.705131334263,2.08543219908568,0.0228214416612491,1
5,60.0333333333333,60.0333333333333,60.05,8032.55,115.669579813732,2.02098439926441,0.0225613801945505,1
3,60.0333333333333,60.0333333333333,60.05,8039.75,108.867214397496,2.18874761119637,0.0346709570674818,1
4,60.0333333333333,60.0333333333333,60.05,905.166666666667,109.06353960396,1.57309885027472,0.00410863531348978,1
2,60.0333333333333,60.0333333333333,60.05,7983.6,112.989713123528,1.99747459478931,0.0226903531514711,1
1,60.0333333333333,60.0333333333333,60.05,7925.33333333333,99.1914575697773,1.92913983653514,0.0225258961116207,1
10,60.0333333333333,60.0333333333333,60.0666666666667,11344.8666666667,95.7483937823834,2.11328432622772,0.0204639438328338,1
11,60.0333333333333,60.0333333333333,60.05,12513.1666666667,126.359471164805,2.357900957374,0.0225731306414787,1
9,60.0333333333333,60.0333333333333,60.0666666666667,10131.4833333333,101.873065612939,2.01922284346814,0.0182782634679999,1
13,60.0333333333333,60.0333333333333,60.05,10806.6,115.713606643128,2.39314455507967,0.036638257527064,1
19,60.0333333333333,60.0333333333333,60.05,8446.26666666667,80.673130361242,3.07880276784792,0.037947588214724,1
18,60.0333333333333,60.0333333333333,60.05,540.666666666667,82.4257379276275,1.14178078703126,0.0024303222709219,1
15,60,60.0166666666667,60.0333333333333,19173.8833333333,111.27572119393,4.5694459595618,0.0861979363739013,1
16,60.0166666666667,60.0333333333333,60.05,2860.81666666667,82.1974377925597,1.32221559943607,0.0128618652353409,1
17,60.0333333333333,60.0333333333333,60.05,659.933333333333,81.2011930849769,1.12381672122798,0.00296827552457576,1
31,60.05,60.0666666666667,60.0833333333333,137879.766666667,154.121798152097,18.4843123200883,0.381499194579168,4
32,60.0333333333333,60.0666666666667,60.0833333333333,6609.4,102.754857359492,1.84082587861563,0.0182888882842257,1
265,15,15.0333333333333,15.05,162397.783333333,78.7778232087227,29.8985478561628,0.401375727493138,2
7,60.0333333333333,60.0333333333333,60.05,2348.88333333333,105.184872471416,1.66369434005321,0.00589208429769757,1
8,60.0333333333333,60.0333333333333,60.05,2150.13333333333,99.3570746095048,1.52746092874559,0.00539393454134644,1
28,15.05,15.0666666666667,15.0833333333333,2173.03333333333,28.7510750329092,3.43123883658647,0.00552734693282312,2
29,60.0333333333333,60.05,60.0666666666667,196887.666666667,142.366612338525,26.4687174048436,0.500891837516859,4
202,15.5333333333333,15.55,60.55,63546.7166666667,74.3601426819033,12.0885028848323,0.165520114033753,2
182,60.0333333333333,60.0666666666667,60.1,2193.86666666667,109.627717235446,1.6468160882853,0.00573902228653945,1
183,60.05,60.0666666666667,60.0833333333333,3966.36666666667,96.5832955023119,1.71255840168156,0.0103573260514373,1
231,60.0666666666667,60.1,60.1333333333333,33174.0333333333,122.850721847931,5.06011909088775,0.0866330813871551,1
184,60.05,60.0666666666667,60.1,11407.9,100.462657397692,2.31202022127249,0.029788466868853,1
185,60.0666666666667,60.0833333333333,60.15,2272.86666666667,115.032819738167,1.69169411815024,0.00596931091691596,1
186,15.05,15.0666666666667,15.0833333333333,2856.6,30.1559436858262,3.4916589804485,0.00752045048637477,2
203,60.0666666666667,60.0666666666667,60.0833333333333,2152.76666666667,108.440074477227,1.61781525230357,0.00568666054001042,1
189,60.0333333333333,60.05,60.0833333333333,101719.066666667,176.094846752422,12.6768819484187,0.275196737577492,4
190,60.05,60.0666666666667,60.3666666666667,2859.93333333333,142.372664314648,1.67203482802745,0.0078744247772991,1
232,60.05,60.0666666666667,60.1,15271.4166666667,121.368746514999,2.81066870223974,0.042096553883759,1
264,15.0666666666667,15.0833333333333,15.1,2253.13333333333,27.6315463870107,3.39505889582766,0.0112518372210689,2
222,60.05,60.1166666666667,60.25,5003.88333333333,111.530457455597,1.82381107440495,0.013898891539408,1
267,60.0333333333333,60.05,60.0666666666667,1142.41666666667,60.3777395728503,0.30810386839559,0.00317362573255102,1
268,60.05,60.0666666666667,60.0833333333333,107943.35,86.3526185336212,19.3510259543723,0.299839251815859,4
266,15.05,15.0666666666667,15.0833333333333,1142.35,18.8296730316505,1.73356346812662,0.00317381862877477,2
223,60.05,60.0666666666667,60.0833333333333,18763.05,108.669797979798,3.32596283936019,0.0523215542218062,1
