"Cluster","Q1","Q2","Q3","Q4","Salto","CoeficienteVar","Numero","Tipo"
1,60.2333333333333,60.5666666666667,129.5125,83483.9666666667,0.333206421727267,11.8137497649068,120,"maximo"
1,60.0451388888889,60.0630555555556,60.8542708333333,6730.34347222222,0.0311131571546596,2.167129979807,120,"media"
1,60,60.0166666666667,60.0166666666667,175.033333333333,0.0024303222709219,0.304188585642106,120,"minimo"
2,15.5333333333333,15.55,60.55,162397.783333333,0.401375727493138,29.8985478561628,19,"maximo"
2,14.5131578947368,14.790350877193,17.5219298245614,23477.3438596491,0.0842025237526624,6.63362005670634,19,"media"
2,4.6,9.63333333333333,15.0166666666667,30.15,0.00317381862877477,0.156934198087339,19,"minimo"
3,60.0333333333333,60.05,60.0666666666667,2320375.58333333,0.850137470380375,39.9813210593824,1,"maximo"
3,60.0333333333333,60.05,60.0666666666667,2320375.58333333,0.850137470380375,39.9813210593824,1,"media"
3,60.0333333333333,60.05,60.0666666666667,2320375.58333333,0.850137470380375,39.9813210593824,1,"minimo"
4,60.0666666666667,60.0833333333333,60.1333333333333,198470.633333333,0.773483207963723,26.4687174048436,10,"maximo"
4,60.0483333333333,60.0616666666667,60.0866666666667,113824.651666667,0.562933555492821,15.6472372958922,10,"media"
4,60.0333333333333,60.0333333333333,60.05,67388.9833333333,0.275196737577492,10.7658862828534,10,"minimo"
